Date received,Product,Sub-product,Issue,Sub-issue,Consumer complaint narrative,Company public response,Company,State,ZIP code,Tags,Consumer consent provided?,Submitted via,Date sent to company,Company response to consumer,Timely response?,Consumer disputed?,Complaint ID
12/04/2014,Bank account or service,Checking account,"Account opening, closing, or management",,,,Bank of America,MA,01534,,,Referral,12/08/2014,Closed with monetary relief,Yes,No,1143061
01/10/2015,Mortgage,Conventional adjustable mortgage (ARM),"Loan modification,collection,foreclosure",,,,Nationstar Mortgage,CO,80134,,,Web,01/10/2015,Closed with explanation,Yes,No,1189361
06/19/2012,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,,,JPMorgan Chase & Co.,NY,10954,,,Web,06/22/2012,Closed with explanation,Yes,Yes,104404
07/15/2014,Debt collection,I do not know,Communication tactics,Frequent or repeated calls,,,"EOS Holdings, Inc.",FL,33160,,,Web,07/15/2014,Closed with explanation,Yes,No,938494
09/10/2015,Credit reporting,,Incorrect information on credit report,Account status,"The status of my XXXX XXXX XXXX account was erroneously changed. This account is PAID IN FULL. Equifax was reporting this correctly and it suddenly changed to "" late '' status. 
",,Equifax,CA,900XX,,Consent provided,Web,09/11/2015,Closed with explanation,Yes,No,1558098
06/22/2016,Credit reporting,,Improper use of my credit report,Report improperly shared by CRC,,,Clarity Services,FL,33411,,Consent not provided,Web,06/22/2016,Closed with explanation,Yes,No,1979893
10/22/2015,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,,Company believes it acted appropriately as authorized by contract or law,"Select Portfolio Servicing, Inc",IL,60473,,Consent not provided,Web,10/22/2015,Closed with explanation,Yes,No,1619712
04/22/2015,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,"Nation star indicated that tbey would automatically modify my second lien loan after my first lien was done. That was back in XXXX. Every month I am told it is in process. Finally in XXXX I recieved loan documents indicating what my new payment would be starting in XXXX. I returned them signed and have yet to receive any additional information. In XXXX I called to make the payment and was told my loan was in default when I was transferred to the modification program they told me it was just taking longer to get documents proceeded but all was good and to send in a payment in the new amount the next week. It is now ebs of XXXX and I am getting certified letters that I am in default. I paid the new payment amount in XXXX and XXXX. I just want them to resolve this mess as they are reporting me to credit bureau. 
",,Nationstar Mortgage,TX,782XX,,Consent provided,Web,04/22/2015,Closed with explanation,Yes,No,1340936
07/29/2016,Credit reporting,,Credit monitoring or identity protection,Problem with fraud alerts,,,Equifax,GA,30044,,,Referral,07/29/2016,Closed with explanation,Yes,No,2034434
02/24/2014,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,U.S. Bancorp,FL,33015,,,Referral,02/25/2014,Closed with explanation,Yes,Yes,729743
03/10/2015,Debt collection,Payday loan,Taking/threatening an illegal action,Threatened arrest/jail if do not pay,,,Premier Recovery Group,SC,29511,,,Web,03/16/2015,Closed with explanation,No,No,1276585
03/06/2014,Debt collection,"Other (i.e. phone, health club, etc.)",Communication tactics,Frequent or repeated calls,,,Ditech Financial LLC,NC,28273,,,Web,03/05/2014,Closed with explanation,Yes,No,746299
08/04/2015,Debt collection,Payday loan,Cont'd attempts collect debt not owed,Debt is not mine,"I had a ROBO call from XXXX stating i was a person of interest. When I called the Company he Indicated he was from XXXX XXXX XXXX a debt collection company. Company Rep asked for my personal information I refused and stated that if this is a collection company simply mail me a VALIDATION OF DEBT, Company Rep refused and hung up.",,Concord Resolution Inc (Closed),NJ,080XX,,Consent provided,Web,08/06/2015,Untimely response,No,,1502307
11/01/2012,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,PNC Bank N.A.,MO,64801,,,Referral,11/20/2012,Closed with explanation,Yes,No,182632
12/07/2013,Credit reporting,,Credit reporting company's investigation,Problem with statement of dispute,,,Experian,FL,32218,,,Web,12/07/2013,Closed with non-monetary relief,Yes,No,627458
09/21/2016,Credit reporting,,Incorrect information on credit report,Account status,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"TransUnion Intermediate Holdings, Inc.",FL,33991,,,Postal mail,09/22/2016,Closed with explanation,Yes,,2123436
12/09/2015,Mortgage,Home equity loan or line of credit,"Loan modification,collection,foreclosure",,,,"Citizens Financial Group, Inc.",PA,15066,,,Referral,12/16/2015,Closed with explanation,Yes,No,1690002
12/02/2014,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,,,"Caliber Home Loans, Inc",FL,33050,,,Web,12/02/2014,Closed with explanation,Yes,No,1138262
05/07/2013,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,,,Citibank,OR,97302,,,Web,05/08/2013,Closed with explanation,Yes,No,401421
11/07/2016,Credit reporting,,Incorrect information on credit report,Account terms,,,Equifax,GA,307XX,,Other,Web,11/09/2016,Closed with explanation,Yes,,2197640
05/23/2013,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,BB&T Financial,VA,22026,,,Referral,05/28/2013,Closed with explanation,Yes,No,414837
10/17/2016,Debt collection,Mortgage,False statements or representation,Attempted to collect wrong amount,,,"Citizens Financial Group, Inc.",CA,950XX,,,Web,10/17/2016,In progress,Yes,,2162779
08/31/2016,Credit reporting,,Credit reporting company's investigation,Problem with statement of dispute,On XX/XX/XXXX I received a notification through my credit monitoring service that my Equifax scored had dropped XXXX points. I checked my report and saw no negative chnages to my report. In fact my balances had decreased and I have no new inquiries. I called Equifax on XX/XX/XXXX and was told that there were no changes for my score to drop that much. Then I was asked if I had recently submitted a dispute and I said that I had. The rep I spoke to told me that disputing an item can drop my score. I was not aware that as a consumer I would be penalized for disputing an error on my report. The customer service rep could not give me additional information regarding this. My call was recorded by them and it can be referenced as proof that this is the reason why my scores dropped so much.,,Equifax,CA,921XX,,Consent provided,Web,08/31/2016,Closed with explanation,Yes,Yes,2090608
08/09/2015,Credit reporting,,Improper use of my credit report,Report improperly shared by CRC,"While checking my personal credit report, I noticed an unauthorized and fraudulent credit inquiry made by XXXX on or about XX/XX/XXXX on Equifax. I did not authorized anyone employed by this company to make any inquiry and view my credit report. XXXX XXXX XXXX has violated the Fair Credit Reporting Act Section 1681b ( c ). They were not legally entitled to make this fraudulent inquiry. This is a serious breach of my privacy rights. 
I have requested that they mail me a copy of my signed authorization form that gave them the right to view my credit within five ( 5 ) business days so that I can verify its validity and advised them that if they can not provide me with proof that I authorized them to view my credit report then I am demanding that they contact the credit bureaus immediately and have them remove the unauthorized and fraudulent hard inquiry immediately. I also requested that they remove my personal information from their records. My Social Security # is XXXX and my Date of Birth is XX/XX/XXXX in case it is needed to locate the fraudulent inquiry in their system. 
",,Equifax,CA,925XX,Servicemember,Consent provided,Web,08/10/2015,Closed with explanation,Yes,No,1510145
08/08/2016,Debt collection,Medical,Disclosure verification of debt,Right to dispute notice not received,,,Account Management Resources,OK,73118,,,Phone,08/08/2016,Closed with explanation,Yes,Yes,2052042
09/24/2013,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt was paid,,,"RS Clark and Associates, Inc.",TX,75429,,,Web,09/24/2013,Closed with non-monetary relief,Yes,No,539701
11/15/2016,Debt collection,Credit card,Disclosure verification of debt,Not given enough info to verify debt,,,Discover,CA,95758,,,Web,11/15/2016,Closed with explanation,Yes,,2209044
04/30/2014,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,,,Freedom Mortgage,TN,38119,Older American,,Web,05/01/2014,Closed with explanation,Yes,No,832916
09/28/2016,Debt collection,Credit card,Communication tactics,Frequent or repeated calls,,,JPMorgan Chase & Co.,TN,378XX,,,Web,09/28/2016,Closed with explanation,Yes,Yes,2137267
05/16/2012,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,,,BB&T Financial,GA,30215,,,Web,05/18/2012,Closed with relief,Yes,No,79764
06/29/2016,Debt collection,Credit card,Cont'd attempts collect debt not owed,Debt is not mine,"Midland Funding LLC has aggressively continued to report unfavourable remarks on mu credit profile for a debt that I do not owe. Hence, their illegally, well orchestrated negative remarks has continued to impede on my ability to be considered for any credit worthiness and attain any measurable employment.",,Encore Capital Group,GA,302XX,,Consent provided,Web,06/29/2016,Closed with explanation,Yes,No,1990094
06/11/2012,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,,,HSBC North America Holdings Inc.,NJ,07111,,,Web,06/15/2012,Closed with explanation,Yes,Yes,99232
09/19/2016,Debt collection,Credit card,Cont'd attempts collect debt not owed,Debt is not mine,,,Encore Capital Group,FL,328XX,Older American,,Web,10/21/2016,Closed with explanation,Yes,,2118580
05/14/2015,Bank account or service,Checking account,"Account opening, closing, or management",,,Company chooses not to provide a public response,Wells Fargo & Company,AL,35150,,,Referral,05/15/2015,Closed with monetary relief,Yes,No,1377787
03/27/2015,Credit reporting,,Incorrect information on credit report,Account terms,"I just noticed an unfamiliar company on my credit report, with a note that said "" account is disputed by consumer ''. I never even heard of the company, how could I dispute it? I learned from my attorney, who I hired to help clean up an identity theft, that creditors will park an account and list it as disputed so the CRA wo n't reinvestigate -- they are tricked into thinking I put in a frivolous dispute. So it remains. I contacted the creditor, and found it to be a mortgage firm that foreclosed on my house, and STILL parked an account for the original balance and payments under a new company name. It 's listed as OPEN, with the last payment of XX/XX/2006. So, I am nowhere with my dispute, and my letters are being ignored. I have turned over my case to an attorney. There is never just one cockroach. If I go to my local public records, I expect to find more cases like mine. There was never any attempt to sue or collect, just that account that says OPEN. It hurt my credit score, and caused me to lose credit opportunities on a continuing basis. 
",,Equifax,KY,402XX,,Consent provided,Web,03/27/2015,Closed with non-monetary relief,Yes,No,1305527
10/21/2016,Credit card,,Other,,,,Citibank,NY,11230,,,Web,10/21/2016,In progress,Yes,,2172169
02/04/2014,Debt collection,I do not know,Cont'd attempts collect debt not owed,Debt was paid,,,Citibank,NY,14843,,,Web,02/06/2014,Closed with explanation,Yes,Yes,700121
11/01/2013,Mortgage,Conventional adjustable mortgage (ARM),"Loan servicing, payments, escrow account",,,,Bank of America,CA,92624,,,Web,11/01/2013,Closed with explanation,Yes,No,582390
02/16/2012,Mortgage,Other mortgage,"Loan servicing, payments, escrow account",,,,Bank of America,CA,95020,,,Referral,02/16/2012,Closed without relief,Yes,No,24037
02/24/2015,Credit reporting,,Incorrect information on credit report,Information is not mine,,,Equifax,IL,60619,,,Web,03/03/2015,Closed with explanation,Yes,No,1255056
06/02/2016,Student loan,Federal student loan servicing,Dealing with my lender or servicer,Keep getting calls about my loan,Bad collection process. They called our home multiple times even after we made our payment.,,"Navient Solutions, Inc.",CA,920XX,,Consent provided,Web,06/02/2016,Closed with explanation,Yes,Yes,1952282
01/23/2013,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,Bank of America,NV,89011,,,Web,08/14/2013,Closed with explanation,Yes,No,255624
06/01/2012,Bank account or service,Checking account,Problems caused by my funds being low,,,,U.S. Bancorp,IL,61704,,,Referral,06/05/2012,Closed with explanation,Yes,No,91322
08/11/2016,Credit card,,Identity theft / Fraud / Embezzlement,,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Wells Fargo & Company,FL,33418,,,Referral,08/15/2016,Closed with monetary relief,Yes,No,2058230
11/05/2013,Credit reporting,,Incorrect information on credit report,Account status,,,Experian,DE,19809,,,Fax,11/19/2013,Closed with non-monetary relief,Yes,No,585289
07/22/2015,Credit reporting,,Improper use of my credit report,Report improperly shared by CRC,,,Equifax,VA,20152,,Consent not provided,Web,07/22/2015,Closed with explanation,Yes,Yes,1480440
08/05/2014,Debt collection,Medical,False statements or representation,Attempted to collect wrong amount,,Company believes it acted appropriately as authorized by contract or law,"Advanced Recovery Systems, Inc.",MS,39350,,,Postal mail,09/23/2015,Closed with explanation,Yes,No,968468
10/29/2015,Debt collection,I do not know,Disclosure verification of debt,Not given enough info to verify debt,,Company believes it acted appropriately as authorized by contract or law,United Revenue Corporation,TX,76131,,,Postal mail,10/30/2015,Closed with explanation,Yes,No,1630982
06/19/2012,Bank account or service,Checking account,"Account opening, closing, or management",,,,"Citizens Financial Group, Inc.",ME,04102,Older American,,Web,06/25/2012,Closed with monetary relief,Yes,No,104257
07/01/2014,Bank account or service,(CD) Certificate of deposit,"Account opening, closing, or management",,,,Ally Financial Inc.,FL,34668,,,Phone,07/07/2014,Closed with explanation,Yes,Yes,918987
05/09/2014,Debt collection,I do not know,Disclosure verification of debt,Not given enough info to verify debt,,,Greene & Cooper Collections LLC,KY,42044,,,Phone,06/02/2014,Closed with explanation,Yes,No,846350
08/13/2015,Credit card,,Late fee,,,,Synchrony Financial,OR,97378,Older American,,Referral,08/19/2015,Closed with explanation,Yes,No,1518001
08/02/2016,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Bank of America,IL,60123,,,Referral,08/03/2016,Closed with explanation,Yes,No,2041856
07/22/2013,Debt collection,"Other (i.e. phone, health club, etc.)",Communication tactics,Frequent or repeated calls,,,"CashCall, Inc.",AZ,85650,,,Phone,07/24/2013,Closed with explanation,Yes,No,462771
06/03/2013,Credit card,,Payoff process,,,,Bank of America,VA,23920,,,Referral,06/05/2013,Closed with monetary relief,Yes,No,422377
04/03/2015,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,Wells Fargo & Company,RI,02893,,,Referral,04/07/2015,Closed with explanation,Yes,No,1314624
05/28/2015,Credit card,,APR or interest rate,,"I just learned today from a XXXX XXXX XXXX XXXX that there is a XX/XX/XXXX law stating that credit card companies have to give you the option of freezing your account at the current interest rate before raising it. Wells Fargo did not do that for me in XX/XX/XXXX, instead just arbitrarily raising my rate from about 12 % to 30 %, where it has been since. Had they given me that option, I would have frozen the account and it would be paid off today as it has a limit of {$2500.00}. When I left a message for my banker about this, I got no response. 

I recently got fired because I XXXX in the work place and I can not pay my rent, let alone a credit card bill. I need help. The fee for the "" non-profit '' counseling center Wells Fargo sent me to is higher each month than the 30 % interest! 
",Company chooses not to provide a public response,Wells Fargo & Company,OR,972XX,,Consent provided,Web,05/28/2015,Closed with explanation,Yes,No,1396397
11/10/2014,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,,,Nationstar Mortgage,CO,80751,,,Web,11/10/2014,Closed with explanation,Yes,No,1109575
11/16/2015,Bank account or service,Checking account,"Making/receiving payments, sending money",,"XX/XX/XXXXTo Whom It May Concern : This is a follow-up complaint against Bank of America ( BOA ) to case numbers below : CFPB Case Number : XXXXBank of America Case : XXXXBank of America A/C No. : XXXXAfter the initial complaint against the Bank of America ( BOA ) filed with the Consumer Financial Protection Bureau ( CFPB ) dated XX/XX/XXXX, I received a telephone call from XXXX XXXX XXXX ( Bank of America Enterprise Customer Care Resolution ) dated XX/XX/XXXX, requesting supporting documents against deposited amounts into my account. 

I have mentioned that deposits that are made into my account were from sales of my personal assets overseas and sales receipts can be provided. 

I then received a letter from XXXX XXXX XXXX ( Bank of America Enterprise Customer Care Resolution ) dated XX/XX/XXXX ( please see attached Exhibit # XXXX BOA Letter ). 

I have replied back to XXXX XXXX XXXX dated XX/XX/XXXX with supporting documents of sales receipts of my assets. Please see followings : Exhibit # XXXX BOA Respond ( Respond back to XXXX XXXX XXXX ) Exhibit # XXXX USPS Delivery Receipt ( USPS Delivery Tracking ) Exhibit # XXXX Household Items ( Sales of household items ) Exhibit # XXXX Car Sale XXXX XXXX ( Sale of Car A ) Exhibit # XXXX Car Sale XXXX XXXX ( Sale of Car B ) Exhibit # XXXX Call Log to Bank of AmericaMy respond to XXXX XXXX XXXX ( Bank of America Enterprise Customer Care Resolution ) dated XX/XX/XXXX along with all supporting documents received by XXXX in XXXX, NC XXXX @ XXXX XXXX on XX/XX/XXXX ( please see attached Exhibit # XXXX USPS Delivery Receipt ). 

During the first telephone conversation I had with XXXX XXXX XXXX, I explained to her that I am a XXXX since the XX/XX/XXXX. My mother was XXXX and XXXX when I moved here in XXXX. She was in a XXXX hospital ( XXXX ) since the day I set foot into XXXX. Had my mother was not in that XXXX, I would 've taken a longer time to move into XXXX after selling my personal properties. 

My mother passed away in XX/XX/XXXX. I went back home in XX/XX/XXXX to close my chapter and sell XXXX cars and personal household items ( furniture & fixtures ). The money that got deposited into the account was proceeding of sales of XXXX cars and household items. 

I have tried calling XXXX XXXX XXXX at her office number XXXX XXXX Ext : XXXX on XX/XX/XXXX, XX/XX/XXXX, XX/XX/XXXX, XX/XX/XXXX and XX/XX/XXXX. I left voice mails on her number each time with my name, call back number and reference of the call. Please see the call log ( Exhibit # XXXX Call Log ). 

I have been an honorable man with a respectable credit history all my life. These are all my hard earned money which I need to survive here with my family in my new country. I am now facing financial hardships due to lack of useable funds. I urgently need my money back for my college bound son to admit in our college of choice. I am deeply puzzled with my current financial situation with BOA and need CFPB 's help to resolve this. 

I believe that I have been treated very poorly thus far and I am very disappointed with Bank of America. I have attached all the relevant documents for further review and hope to hear from CFPB and BOA as soon as possible to close this chapter. 

With sincere thanks in advance and looking forward for your response. 

XXXX XXXX XXXX XXXX XXXX XXXX # XXXX XXXX, XXXX XXXX : XXXX : XXXXXXXXXXXX 
",Company chooses not to provide a public response,Bank of America,GA,303XX,,Consent provided,Web,11/16/2015,Closed with explanation,Yes,Yes,1657737
08/19/2013,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,,,"Select Portfolio Servicing, Inc",FL,34241,,,Web,08/20/2013,Closed with explanation,Yes,Yes,496151
08/05/2014,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,Citibank,OK,73108,,,Referral,08/07/2014,Closed with explanation,Yes,No,969371
10/13/2015,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,"Came out of a bankruptcy XX/XX/2007. After paying on the loan for the 3 years in thebankrutcy, I owed the mortgagae company more than the original loan before the bankruptcy was filed. 
The loan was eventually sold to XXXX and Owcen Servicing was designated as theservicer of the loan. I was offerd a modification by Owcen which I accepted, trems were given and I began the payment cycle. 
I do not think Ocwen is honoring the terms of the agreement 
",,Ocwen,IL,604XX,,Consent provided,Web,10/13/2015,Closed with explanation,Yes,No,1604443
06/27/2014,Debt collection,I do not know,Cont'd attempts collect debt not owed,Debt is not mine,,,"Brown Law, PLLC",MI,48190,,,Web,08/04/2014,Closed with explanation,Yes,No,915465
02/25/2013,Mortgage,Other mortgage,"Application, originator, mortgage broker",,,,KeyCorp,OH,44312,,,Referral,02/27/2013,Closed with explanation,Yes,No,330751
12/22/2015,Bank account or service,Checking account,Deposits and withdrawals,,,Company chooses not to provide a public response,"SunTrust Banks, Inc.",GA,30316,Older American,,Postal mail,12/22/2015,Closed with explanation,Yes,No,1713660
07/24/2013,Mortgage,FHA mortgage,"Loan modification,collection,foreclosure",,,,Wells Fargo & Company,MD,21117,,,Web,07/24/2013,Closed with explanation,Yes,No,464791
10/29/2013,Debt collection,I do not know,Cont'd attempts collect debt not owed,Debt was paid,,,"PMAB, LLC",KS,67661,"Older American, Servicemember",,Web,10/29/2013,Closed with non-monetary relief,Yes,No,576574
12/16/2015,Consumer Loan,Vehicle lease,Managing the loan or lease,,,Company chooses not to provide a public response,Ally Financial Inc.,CA,92019,,,Referral,12/21/2015,Closed with monetary relief,Yes,No,1702373
04/12/2016,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,"XXXX XXXX, XXXX I have had an issue with Ocwen since they bought my loan from XXXX XXXX when the banking system went south. Ocwen holds payemtns, sendthem back and when I fell behind they charged me false charges. Every month I get different mail from them with different totals and even a foreclosure notice on a loan paid to date. It is a continuing battle. I ca n't get on the website to view documents because it never works. They are behind in updating information and charge because of it. 4 times they have returned my payment to me for no reason. It is frustrating. I called again today and XXXX my case manager says I am up to date and he will send me information regarding charges. Thats fine but they should n't have charged me. All I can say is be persistent. Also it is not the employees fault it is the system they use. I have stopped answering phone calls from them because it is hard to understand them. I only deal with XXXX. 

Charges are dated XXXX/XXXX/XXXX {$100.00} ) Property Evaluation XXXX/XXXX/XXXX {$100.00} ) Property Evaluation XXXX/XXXX/XXXX {$100.00} ) Property Evaluation XXXX/XXXX/XXXX {$100.00} ) Property Evaluation XXXX/XXXX/XXXX {$280.00} ) Property Evaluation XXXX/XXXX/XXXX {$140.00} ) Property Evaluation XXXX/XXXX/XXXX {$280.00} ) Property Evaluation XXXX/XXXX/XXXX {$280.00} ) Property Evaluation XXXX/XXXX/XXXX {$130.00} ( XXXX charges XXXX day ) Property Evaluation XXXX/XXXX/XXXX {$300.00} Titel Fee XXXX/XXXX/XXXX {$280.00} ) Property Evaluation XXXX/XXXX/XXXX {$280.00} ) Property Evaluation XXXX/XXXX/XXXX {$280.00} ) Property Evaluation XXXX/XXXX/XXXX {$.00} ) Property Evaluation XXXX/XXXX/XXXX {$280.00} ) Property Evaluation XXXX/XXXX/XXXX {$0.00} ) Property Evaluation XXXX/XXXX/XXXX {$10.00} Title Fee XXXX/XXXX/XXXX {$280.00} ) Property Evaluation XXXX/XXXX/XXXX {$280.00} ) Property Evaluation XXXX charge XXXX/XXXX/XXXX {$280.00} ) Property Evaluation XXXX/XXXX/XXXX {$7.00} Title Fee XXXX/XXXX/XXXX {$7.00} Title fee again 
",,Ocwen,NJ,082XX,,Consent provided,Web,04/12/2016,Closed with explanation,Yes,Yes,1875540
01/23/2016,Bank account or service,Savings account,"Making/receiving payments, sending money",,"ChexSystems is reporting fraud to banking institutions so I am unable to open bank accounts or cash checks. 
",Company chooses not to provide a public response,"Fidelity National Information Services, Inc. (FNIS)",OH,441XX,,Consent provided,Web,01/23/2016,Closed with explanation,Yes,Yes,1755153
05/05/2016,Bank account or service,Checking account,Problems caused by my funds being low,,,,BB&T Financial,TX,77584,,,Referral,05/09/2016,Closed with explanation,Yes,Yes,1911983
08/29/2016,Debt collection,Credit card,Disclosure verification of debt,Not given enough info to verify debt,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Synchrony Financial,MO,63139,,,Referral,09/06/2016,Closed with explanation,Yes,No,2086289
12/16/2011,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,CIT Bank National Association,TX,76140,,,Phone,12/21/2011,Closed without relief,Yes,No,6424
04/09/2012,Bank account or service,Checking account,Deposits and withdrawals,,,,Bank of America,CA,91311,,,Referral,05/23/2012,Closed with relief,Yes,No,56443
03/13/2013,Credit card,,Billing disputes,,,,Discover,OH,43016,Servicemember,,Phone,03/14/2013,Closed with monetary relief,Yes,No,352431
03/25/2013,Credit reporting,,Improper use of my credit report,Report improperly shared by CRC,,,Experian,IL,60543,,,Web,03/26/2013,Closed with explanation,Yes,No,365130
01/20/2015,Mortgage,Other mortgage,"Loan servicing, payments, escrow account",,,,"Servis One, Inc.",MD,20774,,,Web,01/20/2015,Closed with explanation,Yes,Yes,1199072
07/18/2014,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt was paid,,,Credit Acceptance Corporation,WA,99216,,,Web,07/23/2014,Closed with explanation,Yes,Yes,943086
01/18/2012,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,,,Wells Fargo & Company,OH,43074,,,Web,01/19/2012,Closed without relief,Yes,No,14839
07/26/2013,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,Wells Fargo & Company,FL,33332,,,Referral,07/29/2013,Closed with explanation,Yes,No,468156
02/17/2014,Credit card,,Identity theft / Fraud / Embezzlement,,,,JPMorgan Chase & Co.,IL,61821,,,Web,02/17/2014,Closed with explanation,Yes,No,716281
01/16/2014,Mortgage,Conventional fixed mortgage,Settlement process and costs,,,,JPMorgan Chase & Co.,NJ,08069,,,Web,01/16/2014,Closed with explanation,Yes,No,672340
06/26/2012,Mortgage,Conventional adjustable mortgage (ARM),"Loan modification,collection,foreclosure",,,,Wells Fargo & Company,NY,11418,,,Web,07/03/2012,Closed with explanation,Yes,No,107561
08/11/2016,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,"Caliber Home Loans, Inc",NY,11416,Older American,,Postal mail,08/15/2016,Closed with explanation,Yes,No,2058746
08/19/2015,Credit reporting,,Credit reporting company's investigation,Problem with statement of dispute,,,Equifax,MS,39503,,Consent not provided,Web,08/19/2015,Closed with explanation,Yes,No,1526969
06/03/2016,Credit reporting,,Incorrect information on credit report,Account status,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Experian,MO,63119,,,Referral,06/06/2016,Closed with explanation,Yes,No,1953320
07/08/2015,Credit reporting,,Credit reporting company's investigation,No notice of investigation status/result,,Company chooses not to provide a public response,"TransUnion Intermediate Holdings, Inc.",PR,00656,,Consent not provided,Web,07/08/2015,Closed with explanation,Yes,No,1458363
06/21/2012,Bank account or service,Checking account,"Account opening, closing, or management",,,,Wells Fargo & Company,CO,80304,,,Phone,06/22/2012,Closed with explanation,Yes,No,106259
12/24/2014,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,,,Bank of America,MD,21237,,,Web,12/24/2014,Closed with explanation,Yes,No,1170061
09/12/2016,Mortgage,FHA mortgage,"Application, originator, mortgage broker",,,,M&T Bank Corporation,KS,66539,,Consent not provided,Web,09/12/2016,Closed with explanation,Yes,,2106709
03/10/2016,Credit reporting,,Incorrect information on credit report,Reinserted previously deleted info,"A account from XXXX XXXX XXXX appeared on my credit as well as several fraudulent accounts. I disputed the trade line with Transunion and supplied them with a copy of my police report, the account was removed. However, they re- inserted the entry without informing me- when the account does not belong to me. 
",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"TransUnion Intermediate Holdings, Inc.",CA,946XX,,Consent provided,Web,03/10/2016,Closed with explanation,Yes,No,1826470
02/25/2014,Bank account or service,Checking account,"Account opening, closing, or management",,,,JPMorgan Chase & Co.,IL,60124,,,Web,02/24/2014,Closed with explanation,Yes,No,729864
09/19/2012,Mortgage,Home equity loan or line of credit,"Loan servicing, payments, escrow account",,,,Wells Fargo & Company,NC,28277,,,Web,09/20/2012,Closed with explanation,Yes,Yes,154545
06/08/2015,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,Citibank,CA,91306,,,Referral,06/10/2015,Closed with non-monetary relief,Yes,No,1410137
07/17/2015,Consumer Loan,Installment loan,Problems when you are unable to pay,,,Company believes it acted appropriately as authorized by contract or law,"Bliksum, LLC",CA,92408,,Consent not provided,Web,07/28/2015,Closed with explanation,Yes,No,1477530
09/06/2013,Debt collection,Credit card,Taking/threatening an illegal action,Threatened arrest/jail if do not pay,,,Gurstel Chargo PA,AZ,85234,,,Web,10/22/2013,Closed with explanation,Yes,No,517957
02/13/2015,Debt collection,I do not know,Cont'd attempts collect debt not owed,Debt is not mine,,,"Client Services, Inc.",VA,22311,Older American,,Web,02/20/2015,Closed with explanation,Yes,No,1239689
12/27/2012,Bank account or service,Checking account,"Account opening, closing, or management",,,,PNC Bank N.A.,MD,20794,,,Referral,12/28/2012,Closed with explanation,Yes,No,217967
10/21/2015,Mortgage,FHA mortgage,"Loan modification,collection,foreclosure",,,,Ocwen,FL,33624,,Consent not provided,Web,10/27/2015,Closed with explanation,Yes,No,1618851
04/10/2015,Credit reporting,,Incorrect information on credit report,Account status,,,"TransUnion Intermediate Holdings, Inc.",NY,10467,,,Postal mail,04/25/2015,Closed with explanation,Yes,No,1324708
04/05/2012,Credit card,,Credit determination,,,,Amex,AZ,85006,,,Phone,04/06/2012,Closed without relief,Yes,Yes,44356
03/27/2014,Credit card,,Billing disputes,,,,Citibank,PA,17042,,,Web,04/02/2014,Closed with monetary relief,Yes,No,781250
07/29/2014,Bank account or service,Checking account,Deposits and withdrawals,,,,Bank of America,CA,95826,,,Phone,07/31/2014,Closed with explanation,Yes,No,958704
12/15/2015,Mortgage,Conventional adjustable mortgage (ARM),"Loan modification,collection,foreclosure",,,,KeyCorp,FL,33334,Older American,,Phone,12/17/2015,Closed with explanation,Yes,Yes,1697037
